date,text,score
2019-06-07 11:33:16,smartmetric present advantis smartmetric biometric card secure payments id conference madrid,1.0
2019-06-07 11:33:13,smartmetric present advantis smartmetric biometric card secure payments id conference madrid,1.0
2019-06-07 11:32:16,smartmetric present advantis smartmetric biometric card secure payments id conference madrid spain june dd link,1.0
2019-06-07 11:31:26,letsw open fridge finaly competition nre dmd,1.0
2019-06-07 10:15:34,good article ni argue overall opinion decision might also related fact often see naive shameless audacious dumb mgmt groups could raised based data moved trial nthat good point,1.0
2019-06-07 09:48:05,healthcare breakout improving bullish momentum amp,1.0
2019-06-07 09:44:49,buy last closing,1.0
2019-06-07 08:37:29,area happen next buy out big pharma sw,1.0
2019-06-07 08:24:43,technology moved forward big pharma sw,1.0
2019-06-07 08:20:56,area happen next buy out big pharma sw,1.0
2019-06-07 08:12:35,technology moved forward big pharma sw,1.0
2019-06-07 06:46:11,reasons pfizer sat potential new alzheimer drug,-1.0
2019-06-07 04:15:42,summary implausible finding lead scientists down dead end want go down dead end,-1.0
2019-06-07 03:30:08,top money flow stocks thursday,1.0
2019-06-07 02:58:58,soaring co files ch technical selling causes oversold,-1.0
2019-06-07 02:54:02,short sale volume not short interest,-1.0
2019-06-07 02:24:16,vivus reject lowball buyout offer pfizer talks philadelphia next week,1.0
2019-06-07 01:10:28,reasons pfizer sat potential new alzheimer drug,-1.0
2019-06-07 00:19:14,gotta love largecap biotech right small cap biotech lives off optimism cheap cash neither trending good direction right able add future blockbusters cheap right acquisition,1.0
2019-06-06 23:38:28,freaked out latest market correction top tips long term stock investors,1.0
2019-06-06 22:52:01,reasons pfizer sat potential new drug,-1.0
2019-06-06 22:48:39,thin afterhours,-1.0
2019-06-06 22:46:26,latest podcast live discuss hot takes ft pushback wapo,1.0
2019-06-06 22:42:27,shorts major trouble next,-1.0
2019-06-06 22:36:46,based response pretty much guarantee industry consensus story pfizer,1.0
2019-06-06 22:27:49,based response pretty much guarantee industry consensus story pfizer,1.0
2019-06-06 22:24:49,largest moc sells,-1.0
2019-06-06 22:10:38,reasons pfizer sat potential new alzheimer drug,-1.0
2019-06-06 22:06:56,read update bouncing,-1.0
2019-06-06 22:05:59,bouncing hard afterhours,-1.0
2019-06-06 22:02:10,reasons pfizer sat potential new alzheimer drug,-1.0
2019-06-06 22:01:04,jun puts up since alerted may peak view details,-1.0
2019-06-06 21:33:24,iphones cancer drugs rely chinese rare earth minerals happens beijing limits,1.0
2019-06-06 20:55:29,reasons pfizer sat potential new alzheimer drug,-1.0
2019-06-06 20:50:48,latest podcast live discuss hot takes ft pushback wapo,1.0
2019-06-06 20:49:21,latest podcast live discuss hot takes ft pushback wapo,1.0
2019-06-06 20:47:06,latest podcast live discuss hot takes ft pushback wapo,1.0
2019-06-06 20:46:27,latest podcast live discuss hot takes ft pushback wapo,1.0
2019-06-06 20:45:11,npfizer scoops calico exec jeff settleman head big oncology amp,1.0
2019-06-06 20:45:03,latest podcast live discuss hot takes ft pushback wapo alzheimer story amp,1.0
2019-06-06 20:44:40,applied biosciences launches champ organics cbd product line boxing heavyweight champion shannon briggs,1.0
2019-06-06 20:44:23,year outlook findings prescription drug sales reach,-1.0
2019-06-06 20:44:18,yes justification not publishing study also unlike oncology vaccines ad still,-1.0
2019-06-06 20:44:02,finished recording latest ep podcast discuss hot takes ft,1.0
2019-06-06 20:43:51,innovative thinking related role tumor heterogeneity development drug tolerance resista,1.0
2019-06-06 20:43:40,new multi week highs more,1.0
2019-06-06 20:43:09,continues climb higher,1.0
2019-06-06 20:42:59,uk ph study enbrel alzheimer published december failed meet endpoints balan,-1.0
2019-06-06 20:42:53,nsmall uk study published probably influenced,1.0
2019-06-06 20:42:47,excellent thorough explanation reasons crazy evil pass running enbre,-1.0
2019-06-06 20:42:14,actually went blog yesterday hoping would take delivered read,-1.0
2019-06-06 20:42:03,intel pfizer drive djia surge higher friday,1.0
2019-06-06 20:41:48,settleman one clutch ex genentech employees led ceo art levinson found home calico roche,-1.0
2019-06-06 20:41:21,short non story people deserve sharp criticism journalists not drug company,-1.0
2019-06-06 20:41:05,totd published enbrel alz data would accused promoting inconclusive data make money,-1.0
2019-06-06 20:40:55,pfizer names calico jeff settleman new head oncology amp,1.0
2019-06-06 20:40:49,names jeff settleman head oncology amp,1.0
2019-06-06 20:40:44,give up already big study needed define potential liver tox fda must hav,1.0
2019-06-06 20:40:34,based response pretty much guarantee industry consensus story pfizer,1.0
2019-06-06 20:40:17,pfizer names calico jeff settleman new head oncology amp,1.0
2019-06-06 20:40:11,would made decision signals like not uncommon proving would co,-1.0
2019-06-06 20:40:06,whole wapo story wrong headed nlots people already pointed out small effect observati,-1.0
2019-06-06 20:33:18,global cord blood pfizer confirm acquisition agreement announcement pending,1.0
2019-06-06 20:31:53,think get more data over course year early next year good point us say,1.0
2019-06-06 20:13:45,bouncing hard afterhours,-1.0
2019-06-06 20:11:06,defended downgrade overblown bouncing afterhours,-1.0
2019-06-06 19:55:06,asset watch top money flow stocks thursday,1.0
2019-06-06 19:36:15,think get more data over course year early next year good point us say,1.0
2019-06-06 19:30:00,asset watch active thursday,1.0
2019-06-06 19:20:20,short non story people deserve sharp criticism journalists not drug company,-1.0
2019-06-06 19:19:46,whole wapo story wrong headed nlots people already pointed out small effect observati,-1.0
2019-06-06 18:57:29,based response pretty much guarantee industry consensus story pfizer,1.0
2019-06-06 18:42:03,npfizer scoops calico exec jeff settleman head big oncology amp,1.0
2019-06-06 18:34:59,short non story people deserve sharp criticism journalists not drug company,-1.0
2019-06-06 18:34:33,whole wapo story wrong headed nlots people already pointed out small effect observati,-1.0
2019-06-06 18:31:07,ground level opportunity investors nasdaq bound nhealthlynked revenues expected grow over,1.0
2019-06-06 18:30:17,healthlynked ready breakout nnasdaq bound nhealthlynked revenues expected grow over,1.0
2019-06-06 18:13:30,iphones cancer drugs rely chinese rare earth minerals happens beijing limits,1.0
2019-06-06 18:02:14,lrsv got news today still oversold more coming,1.0
2019-06-06 17:58:06,would made decision signals like not uncommon proving would co,-1.0
2019-06-06 17:50:33,whole wapo story wrong headed nlots people already pointed out small effect observati,-1.0
2019-06-06 17:07:14,iphones cancer drugs rely chinese rare earth minerals happens beijing limits,1.0
2019-06-06 16:59:03,applied biosciences launches champ organics cbd product line boxing heavyweight champion shannon briggs ca ca ca ca ca ca,1.0
2019-06-06 16:54:18,year outlook findings prescription drug sales reach,-1.0
2019-06-06 16:45:24,money flowing today,1.0
2019-06-06 16:37:35,money flowing today,1.0
2019-06-06 16:35:40,money flowing today,1.0
2019-06-06 16:14:57,based response pretty much guarantee industry consensus story pfizer,1.0
2019-06-06 16:14:45,think get more data over course year early next year good point us say,1.0
2019-06-06 16:00:00,year outlook findings prescription drug sales reach year cagr sales leading prescription drug company pipeline expenditure,1.0
2019-06-06 15:56:25,yes justification not publishing study also unlike oncology vaccines ad still,-1.0
2019-06-06 15:29:27,lrsv news out,1.0
2019-06-06 15:12:35,finished recording latest ep podcast discuss hot takes ft,1.0
2019-06-06 15:10:32,saying look lrsv share reduction still come,1.0
2019-06-06 15:04:45,finished recording latest ep podcast discuss hot takes ft,1.0
2019-06-06 15:02:05,finished recording latest ep podcast discuss hot takes ft pushback wapo alzheimer story amp,1.0
2019-06-06 15:00:38,innovative thinking related role tumor heterogeneity development drug tolerance resistance look forward seeing expertise help pfizer further accelerate potential breakthroughs people living cancer,-1.0
2019-06-06 14:51:50,new multi week highs more,1.0
2019-06-06 14:46:23,scaling back up further wildchild incred effec initial plays multi billion mkt take,1.0
2019-06-06 14:40:39,actually went blog yesterday hoping would take delivered read,-1.0
2019-06-06 14:30:35,news thurs june ohio doctor faces murder counts prescribing excess doses mycme win,1.0
2019-06-06 14:30:14,not washington post best moment reasons pfizer sat potential new alzheimer drug,-1.0
2019-06-06 14:15:15,whole wapo story wrong headed nlots people already pointed out small effect observati,-1.0
2019-06-06 14:14:25,actually went blog yesterday hoping would take delivered read,-1.0
2019-06-06 14:12:03,whole wapo story wrong headed nlots people already pointed out small effect observati,-1.0
2019-06-06 14:11:16,not washington post best moment reasons pfizer sat potential new alzheimer drug,-1.0
2019-06-06 14:07:57,continues climb higher,1.0
2019-06-06 14:06:06,unknown oversold dont sleep,-1.0
2019-06-06 14:03:07,massive merger oversold unknown perfect xbe,1.0
2019-06-06 14:02:53,unknown oversold dont sleep,-1.0
2019-06-06 14:00:06,rose upper bollinger band today,1.0
2019-06-06 13:56:55,scaling back up further wildchild incred effec initial plays multi billion mkt take spot mgt fire already,1.0
2019-06-06 13:44:22,massive merger oversold unknown perfect xbe,1.0
2019-06-06 13:42:35,actually went blog yesterday hoping would take delivered read,-1.0
2019-06-06 13:36:46,uk ph study enbrel alzheimer published december failed meet endpoints balan,-1.0
2019-06-06 13:36:34,nsmall uk study published probably influenced,1.0
2019-06-06 13:35:38,excellent thorough explanation reasons crazy evil pass running enbrel study alzheimer,-1.0
2019-06-06 13:34:21,unknown oversold dont sleep,-1.0
2019-06-06 13:33:17,extremely undervalued mil massive merger crazy xbe,-1.0
2019-06-06 13:31:28,actually went blog yesterday hoping would take delivered read,-1.0
2019-06-06 13:30:19,based response pretty much guarantee industry consensus story pfizer,1.0
2019-06-06 13:30:14,unknown oversold dont sleep,-1.0
2019-06-06 13:29:23,actually went blog yesterday hoping would take delivered read,-1.0
2019-06-06 13:24:43,settleman one clutch ex genentech employees led ceo art levinson found home calico roche,-1.0
2019-06-06 13:23:45,actually went blog yesterday hoping would take delivered read,-1.0
2019-06-06 13:22:46,actually went blog yesterday hoping would take delivered read story read,-1.0
2019-06-06 13:20:44,global cord blood pfizer confirm acquisition agreement announcement pending,1.0
2019-06-06 13:09:12,intel pfizer drive djia surge higher friday,1.0
2019-06-06 13:06:35,based response pretty much guarantee industry consensus story pfizer,1.0
2019-06-06 13:00:00,news thurs june ohio doctor faces murder counts prescribing excess doses mycme wins award disputes coverage,1.0
2019-06-06 12:58:02,nwould pfizer inc nyse pfe valuable income investors,1.0
2019-06-06 12:41:35,settleman one clutch ex genentech employees led ceo art levinson found home calico roche genentech first industry employer settleman worked senior director discovery oncology,1.0
2019-06-06 12:35:52,based response pretty much guarantee industry consensus story pfizer,1.0
2019-06-06 12:33:13,nlilly emgality gets fda approval cluster headache,1.0
2019-06-06 12:31:23,whole wapo story wrong headed nlots people already pointed out small effect observati,-1.0
2019-06-06 11:37:57,short non story people deserve sharp criticism journalists not drug company,-1.0
2019-06-06 11:37:55,whole wapo story wrong headed nlots people already pointed out small effect observati,-1.0
2019-06-06 11:36:25,totd published enbrel alz data would accused promoting inconclusive data make money off label rx ing conundrum,1.0
2019-06-06 11:21:34,pfizer names calico jeff settleman new head oncology amp,1.0
2019-06-06 11:12:06,names jeff settleman head oncology amp,1.0
2019-06-06 11:09:51,give up already big study needed define potential liver tox fda must already seen hint even find signal patients treated trovan withdrawal,1.0
2019-06-06 10:58:31,whole wapo story wrong headed nlots people already pointed out small effect observati,-1.0
2019-06-06 10:31:14,based response pretty much guarantee industry consensus story pfizer alzheimer overblown nonsense,1.0
2019-06-06 10:27:48,whole wapo story wrong headed nlots people already pointed out small effect observati,-1.0
2019-06-06 10:01:42,pfizer names calico jeff settleman new head oncology amp,1.0
2019-06-06 10:00:35,always around dispute resolution dawned outside litigator house attorney general counsel got better way,-1.0
2019-06-06 10:00:00,active stocks wednesday,1.0
2019-06-06 09:50:38,would made decision signals like not uncommon proving would co,-1.0
2019-06-06 09:07:03,four oversold dow stocks,1.0
2019-06-06 09:03:09,whole wapo story wrong headed nlots people already pointed out small effect observati,-1.0
2019-06-06 08:16:29,short non story people deserve sharp criticism journalists not drug company,-1.0
2019-06-06 08:11:08,whole wapo story wrong headed nlots people already pointed out small effect observational study full potential confounders scarcely counts evidence vcs wouldnt fund interventional study basis,1.0
2019-06-06 08:01:03,would made decision signals like not uncommon proving would co,-1.0
2019-06-06 07:31:33,think get more data over course year early next year good point us say standing right path forward,1.0
2019-06-06 06:22:43,would made decision signals like not uncommon proving would co,-1.0
2019-06-06 06:18:54,enbrel story already out multiple forms clinical data unimpressive htt,-1.0
2019-06-06 05:21:22,look out back row,-1.0
2019-06-06 04:05:03,top money flow wednesday share price shares traded,1.0
2019-06-06 03:39:31,allen waxman new role natural extension kind work long done inside outside counsel,1.0
2019-06-06 03:20:15,global cord blood pfizer confirm acquisition agreement announcement pending,1.0
2019-06-06 01:49:12,prob tagged not,-1.0
2019-06-06 01:40:45,would made decision signals like not uncommon proving would co,-1.0
2019-06-06 01:32:39,would made decision signals like not uncommon proving would co,-1.0
2019-06-06 01:19:59,would made decision signals like not uncommon proving would co,-1.0
2019-06-06 01:16:44,names jeff settleman head oncology amp,1.0
2019-06-06 01:16:11,amen seriously egg head today terrible reporting true hit piece focus real bad actors pharma biz mallinkrodt today,-1.0
2019-06-06 01:00:14,biocentury latest management tracks roundup includes pfizer new head cancer amp,1.0
2019-06-06 00:33:45,healthlynked ready breakout nnasdaq bound nhealthlynked revenues expected grow over,1.0
2019-06-05 23:46:19,enbrel story already out multiple forms clinical data unimpressive htt,-1.0
2019-06-05 23:31:19,data drug trial study suggests plausible potential impacting alzheimer critical drug,1.0
2019-06-05 22:58:00,enbrel story already out multiple forms clinical data unimpressive htt,-1.0
2019-06-05 22:46:27,would made decision signals like not uncommon proving would co,-1.0
2019-06-05 22:23:31,healthlynked could run cents eoy nread article amp,1.0
2019-06-05 22:23:25,healthlynked chart ready break out nread article amp,1.0
2019-06-05 22:23:00,healthlynked attracting attention,1.0
2019-06-05 22:22:55,ground level opportunity investors nasdaq bound nhealthlynked revenues expected grow over,1.0
2019-06-05 22:22:19,healthlynked ready breakout nnasdaq bound nhealthlynked revenues expected grow over,1.0
2019-06-05 22:19:46,block activity picked up ni not line drawer ignore symmetry oddly satisfying ntop holdings nno setups stand out keep eye,1.0
2019-06-05 21:50:09,would made decision signals like not uncommon proving would co,-1.0
2019-06-05 21:41:05,review millionaire traders alerts service fully reviewed,1.0
2019-06-05 21:12:06,shares bought today bottom,1.0
2019-06-05 21:12:03,data drug trial study suggests plausible potential impacting alzheimer critical drug further tested not data released scientific business community able assess importance data,-1.0
2019-06-05 21:11:10,says vradenburg comes accelerating cure cannot leave scientific opportunity table,1.0
2019-06-05 21:10:26,dumba move twitter stock symbol pfsceezer shame,-1.0
2019-06-05 21:09:57,dumba move twitter stock symbol pfsceezer shame,-1.0
2019-06-05 21:09:06,chairman george vradenburg called release data potential impact rheumatoid arthritis drug enbrel could treating disease,1.0
2019-06-05 20:48:12,jaw dropping numbers cancer drug development mean investors,1.0
2019-06-05 20:41:44,biotech xa ii long nbiotech companies continue make significant product financial progress irrespective negative political environment,1.0
2019-06-05 20:31:26,pfizer scoops calico exec jeff settleman head big oncology amp,1.0
2019-06-05 20:27:22,not sure suitors great companies apparently sitting hands holding wallet close low balling etc lowball offer happen nothing like real one mend relations,-1.0
2019-06-05 20:16:47,need broader narrative look help give reps information need not part typical set materials david hering vaccine hesitancy,-1.0
2019-06-05 20:12:06,would made decision signals like not uncommon proving would co,-1.0
2019-06-05 20:09:01,hering must broader narrative value nthat fuel more innovation,1.0
2019-06-05 20:08:13,hering notes gotten stuck small niche amp,-1.0
2019-06-05 20:06:37,either way shorting,-1.0
2019-06-05 20:05:40,allen waxman new role natural extension kind work long done inside outside counsel,1.0
2019-06-05 19:55:00,asset watch top money flow wednesday share price shares traded,1.0
2019-06-05 19:52:25,shares bought today bottom,1.0
2019-06-05 19:50:09,allen waxman new role natural extension kind work long done inside outside counsel,1.0
2019-06-05 19:34:53,silver amp,1.0
2019-06-05 19:30:00,asset watch active stocks wednesday,1.0
2019-06-05 19:20:04,njustice department sues mallinckrodt alleging kickbacks,1.0
2019-06-05 19:15:20,mckinsey heller potential solutions refuel innovation engine demand clarity value communication economic incentives collaboration data sharing,1.0
2019-06-05 19:05:13,profit pharmaceuticals,1.0
2019-06-05 19:03:45,enbrel story already out multiple forms clinical data unimpressive htt,-1.0
2019-06-05 18:48:21,up today thanks,1.0
2019-06-05 18:41:16,unknown oversold dont sleep,-1.0
2019-06-05 18:39:04,help stop crazy person using platform manipulate stock price retweet shit out,-1.0
2019-06-05 18:38:47,would made decision signals like not uncommon proving would co,-1.0
2019-06-05 18:37:56,extremely undervalued mil massive merger crazy xbe,-1.0
2019-06-05 18:35:40,healthlynked ready breakout nnasdaq bound nhealthlynked revenues expected grow over,1.0
2019-06-05 18:26:29,continued expansion tyk space posted study pf psoriatic arthritis sixth indication others lupus psoriasis uc crohn vitiligo,1.0
2019-06-05 18:22:05,good point ex us opposed more us alone reaching conclusion different narrative amgen document one calling foot bill comments,1.0
2019-06-05 18:18:57,names jeff settleman head oncology amp,1.0
2019-06-05 18:11:56,recap impact share prices nrisers,1.0
2019-06-05 18:09:07,wow story wapo trending twitter already comments particularly interesting,1.0
2019-06-05 18:05:43,would made decision signals like not uncommon proving would co,-1.0
2019-06-05 18:04:46,enbrel story already out multiple forms clinical data unimpressive htt,-1.0
2019-06-05 17:52:06,would made decision signals like not uncommon proving would co,-1.0
2019-06-05 17:40:23,enbrel story already out multiple forms clinical data unimpressive htt,-1.0
2019-06-05 17:40:23,lrsv undervalued look,1.0
2019-06-05 17:39:20,based parent project onlus presentation youtube pfizer following data ppmd cohort vg kg mo participants amp,1.0
2019-06-05 17:38:05,njeff settleman ph joins pfizer lead oncology research,1.0
2019-06-05 17:36:00,enbrel story already out multiple forms clinical data unimpressive htt,-1.0
2019-06-05 17:31:04,enbrel story already out multiple forms clinical data unimpressive htt,-1.0
2019-06-05 17:27:37,would made decision signals like not uncommon proving would co,-1.0
2019-06-05 17:23:22,would made decision signals like not uncommon proving would co,-1.0
2019-06-05 17:17:41,feb presentation slide pf ph safety study design cohort vg kg dmc confirmation safety cohort vg kg event dose limiting toxicity,-1.0
2019-06-05 17:14:34,would made decision signals like not uncommon proving would co,-1.0
2019-06-05 17:07:54,recap impact share prices nrisers,1.0
2019-06-05 16:58:50,would made decision signals like not uncommon proving would co,-1.0
2019-06-05 16:58:41,unknown oversold dont sleep,-1.0
2019-06-05 16:50:24,announces study investigate combination pelareorep avelumab metastatic breast cancer collaboration,1.0
2019-06-05 16:49:05,massive merger oversold unknown perfect xbe,1.0
2019-06-05 16:47:50,recap impact share prices nrisers,1.0
2019-06-05 16:43:40,would made decision signals like not uncommon proving would co,-1.0
2019-06-05 16:41:48,similar solid biosciences lt,1.0
2019-06-05 16:41:42,ms scenarios basically chance data positive leading upside scenario micro dystrophin,1.0
2019-06-05 16:37:53,cured patient lost customer,-1.0
2019-06-05 16:36:26,grows rev via amp,1.0
2019-06-05 16:29:55,fun fact went white collar crime firm nwho defended pfizer amp,-1.0
2019-06-05 16:18:24,june time look closely phase trials recent funding advancing anti fibrotic galectin inhibitor belapectin late stage epidemic,1.0
2019-06-05 16:11:18,story ad make sense,-1.0
2019-06-05 16:10:37,pharma companies interested finding cure would prefer investing oncology,-1.0
2019-06-05 16:00:04,nice move trades up ndaily cet,1.0
2019-06-05 16:00:01,recap impact share prices nrisers nfallers,1.0
2019-06-05 15:59:45,us stocks rise though energy shares slump oil,1.0
2019-06-05 15:59:40,us stocks rise though energy shares slump oil,1.0
2019-06-05 15:55:22,would made decision signals like not uncommon proving would co,-1.0
2019-06-05 15:54:33,reports found signs blockbuster inflammation drug could potentially reduce risk,1.0
2019-06-05 15:53:54,nice move trades up ndaily cetx,1.0
2019-06-05 15:53:19,reports found signs blockbuster inflammation drug could potentially reduce risk disease opted clinical study saying enough evidence support theory,1.0
2019-06-05 15:49:07,would made decision signals like not uncommon proving would co,-1.0
